ra,dec
331.16907,0.17493
331.74695,0.543
331.81396,0.52455
334.11124,-0.90298
332.61002,1.61371
330.50851,0.13032
331.80682,1.90912
44.34732,-0.15563
47.2555,-0.73948
352.671581,30.433788
355.153356,29.519402
351.716122,31.342117
44.895855,27.681911
45.578044,26.790075
358.319868,28.308294
13.659609,39.268582
11.96029,39.621425
88.606475,28.304488
346.714485,29.994207
107.51392,26.499224
144.000411,25.69924
146.099723,26.585136
13.09196,2.16962
13.22099,2.68328
11.93794,3.87632
122.4112,4.12625
123.00124,4.08753
122.85995,4.10656
122.80569,4.06419
123.26167,4.53985
121.3964,4.71937
121.29792,4.42653
122.0261,4.04264
121.51458,4.33635
122.46008,5.69879
121.83903,5.60024
121.87502,5.63858
121.76272,6.27259
121.72851,6.39425
121.45656,6.37965
121.81647,6.05211
121.41216,5.90407
121.63723,6.16276
121.47973,6.13927
121.45924,6.44746
121.59187,6.53723
121.62167,6.6263
121.72817,6.7836
122.3108,6.73306
122.19688,6.55563
122.36594,6.54356
122.46188,6.7152
122.27172,5.97624
121.84569,6.79769
122.15139,6.45702
121.84072,6.50669
121.62349,5.71198
122.53175,6.4421
122.8086,6.5162
123.04976,6.4417
122.94049,5.86091
123.38952,5.86891
122.69916,6.18953
122.69653,6.07525
122.35542,6.08966
122.54045,5.9249
122.61577,5.8929
122.78391,5.99656
122.50118,5.987
122.96375,6.68655
122.52236,5.11934
122.53872,4.95069
125.26639,5.34552
124.89756,5.3762
123.56864,6.29005
123.68542,6.87334
123.82734,7.01566
123.70368,6.99679
123.46825,6.78464
123.31567,6.76019
123.29423,6.93323
123.43141,6.79793
124.20499,6.77004
121.39536,6.55003
121.61868,6.90487
121.59814,7.04684
121.17137,6.64961
122.59362,7.24944
121.69543,6.9589
121.80048,7.05868
122.11756,7.23103
122.32536,7.47553
122.68266,7.56328
122.29504,7.00338
121.19256,7.41221
121.27219,7.86043
3.19511,2.87533
41.60057,-0.49819
16.002329,27.507145
141.852935,30.025736
154.270984,28.897226
26.390763,28.797395
146.826253,27.617725
154.560522,31.513884
165.612443,27.304995
167.744297,28.677292
164.880853,29.870691
24.691789,29.636988
10.521964,36.808092
149.722982,31.094845
182.258447,24.954905
180.936445,26.062449
172.010063,26.844391
169.046956,29.173145
169.404775,29.495804
169.257848,29.099085
24.946635,27.715562
23.909974,29.73352
23.991734,29.769811
24.400435,30.45473
23.842163,29.552454
24.934233,29.610878
25.051001,29.675444
26.159737,30.141101
25.239932,29.357588
27.179003,28.403816
27.277298,28.656221
26.765443,29.333752
26.513045,31.569713
27.701005,30.637663
40.283287,55.037924
183.957541,27.826836
185.561855,28.812878
185.476823,31.680798
116.81709,28.504783
117.40083,28.023697
119.22012,29.328341
171.471104,29.103334
172.120376,30.615957
172.299216,30.453386
172.167527,30.883022
172.529175,30.555309
173.160865,30.169197
173.820946,29.553473
175.231723,31.131662
174.63059,30.795767
171.27326,31.584869
18.70115,-0.49772
40.6669,-0.01757
38.67638,1.65733
123.7746,3.88803
143.545332,30.949448
176.142723,26.708033
175.597666,27.018293
175.973679,26.183123
175.523144,28.190128
176.050709,28.950739
176.928846,27.69459
178.608994,27.502529
177.936034,29.277718
179.350012,29.92709
176.210031,29.88166
145.7275833,31.8470056
164.90446,25.353327
165.504887,25.615843
164.920636,24.714001
167.406079,26.921032
167.843826,26.258179
166.968403,25.434568
165.688134,26.035576
165.857977,28.010939
166.671839,28.723213
167.002876,32.510174
167.007891,31.162851
166.77829,31.276501
166.927306,31.302906
168.785511,31.001938
168.239531,30.174576
165.109517,31.898289
165.613667,31.993235
166.888487,33.486382
185.819252,28.961716
183.145928,29.827526
64.564721,47.44753
166.964422,27.164454
27.732441,29.693028
25.905409,30.518893
186.109978,27.397955
185.250855,28.534657
107.17667,27.428865
191.9567,27.008701
191.959464,27.369436
194.13348,27.055609
195.225465,27.783655
194.83402,27.886009
194.792884,27.61989
191.54478,27.937725
138.427601,30.466154
154.28404,29.228128
196.575878,27.255056
194.926226,27.924765
195.197469,27.922169
195.026647,28.004107
194.711564,28.083961
137.047477,26.449636
188.889946,27.549623
138.610008,30.63649
154.326115,29.242811
153.968007,30.113522
151.902667,25.781708
180.723938,31.45775
181.785933,31.196571
181.617686,31.074045
181.43948,31.058743
183.183566,31.450167
180.76761,-0.12521
182.01691,0.37985
180.377461,1.194664
199.3420392,28.8961342
199.7488312,30.7810556
199.6544753,30.8653498
200.1490492,30.2671978
199.9845415,29.4481903
199.1156842,31.0314889
200.1202842,31.3519431
200.138153,31.2573381
147.42236,0.62102
146.66125,2.65893
146.69812,2.1684
147.93686,2.58683
147.79756,1.36163
147.70914,1.14823
148.81108,0.28007
148.7298,0.37865
149.71739,1.0592
148.91447,1.59678
148.80046,1.76087
148.78163,1.01658
148.8587,3.76934
148.23116,4.50913
149.06438,3.77087
149.64232,3.38992
150.03378,2.76514
146.48705,2.8771
146.57607,2.88433
146.114,3.05493
147.68471,3.51658
147.17152,3.37472
147.9379,3.27239
147.40274,4.11629
220.68915,-0.3536
221.78912,-0.34465
222.51552,0.09749
222.84758,0.00708
219.41765,0.29458
220.04652,-0.28888
220.78246,1.10002
220.69051,1.29317
173.4563458,53.1260083
170.36618,3.62627
170.11124,3.58592
170.40091,5.33371
170.05328,6.06871
170.44632,6.08367
170.99695,5.44619
172.6226,4.35089
171.39012,7.39958
172.79935,6.17043
169.31871,6.19261
169.84445,7.62923
170.31004,7.68311
209.75632,0.24123
208.21967,2.02297
208.67613,2.26805
208.73621,2.0957
208.81024,1.90776
210.18571,0.69534
209.58812,3.48705
209.55421,3.19415
209.56256,2.90842
210.3261,2.99688
209.89233,2.58047
207.64087,2.2322
210.03751,4.08078
210.83376,3.69959
210.79083,3.98078
211.35997,3.03323
207.63475,3.19813
209.34772,2.90312
182.620166,31.408186
165.589488,29.659136
198.757829,29.180302
198.8952762,29.6761106
197.7564603,29.636622
196.2432571,29.122255
197.488207,30.913145
197.5863468,31.4439212
247.0832295,38.811412
185.047111,27.680054
229.0462,-0.32939
229.70828,0.01096
230.40678,0.4678
227.90417,-0.27294
229.21454,0.22821
228.87842,1.60951
173.988039,28.196766
202.144784,31.001287
203.209326,30.357515
202.863366,30.531626
203.568706,31.285894
205.151048,30.318041
205.547389,29.895687
204.748951,31.039309
131.02472,49.793828
134.24681,51.347398
137.54955,50.401315
137.63389,50.433274
179.42866,57.565807
177.21019,59.416204
177.31374,56.084199
173.92206,58.323739
177.26691,59.432673
177.20986,59.415699
175.31699,59.885718
217.31921,28.822009
217.32499,30.832234
149.758657,28.740217
245.8331265,34.9703787
245.7487312,37.9491106
245.0398053,37.7981942
244.8658933,36.87501
245.3663318,36.3765764
246.9382,38.4068053
243.9694995,36.9975075
243.9495336,36.5273495
247.1281065,39.5205937
246.9801724,39.2588828
246.9203259,39.3830314
246.3587409,39.8706592
248.4566015,39.2631614
246.8693718,38.8690931
246.3915921,38.6761881
210.67688,9.347174
210.73228,9.421174
210.34492,9.167623
210.46977,9.630392
211.0865,12.016031
209.45597,9.87335
209.37302,9.950843
209.83463,10.139249
210.05703,9.918189
210.67543,9.346662
210.88018,9.220923
210.60141,9.499859
210.2872,8.583688
210.80328,8.895571
210.76859,8.947511
210.49692,8.937668
211.99002,8.182653
211.20614,11.395471
237.43995,28.547066
237.54083,29.185337
239.87356,27.735432
236.60238,30.266943
225.050591,27.04262
226.479751,27.284775
226.554446,27.413282
226.112253,26.549444
226.194871,26.743542
225.677892,27.036894
225.55528,26.828773
226.437336,28.295052
226.379796,28.295752
226.462508,28.162554
227.192467,27.296343
225.972315,28.525091
226.14827,28.493954
226.076444,28.507076
258.3954762,16.0497423
196.453545,28.10655
196.280432,27.812075
196.7289971,28.5480553
197.2258459,28.1839295
198.581061,27.793676
199.4382745,27.569815
198.829104,28.473173
198.9525186,28.4305706
196.4985098,29.2788228
249.1357918,39.0279212
247.7614374,39.7924892
247.8302942,39.7441134
250.9692477,39.9833414
250.5610395,39.840767
44.390081,-7.758809
44.574009,-4.818488
30.535683,8.445139
65.450203,-2.18253
66.578424,-3.621068
67.443621,-3.324817
67.232061,-3.840534
65.508962,-3.671838
65.073693,-0.692772
66.105563,-0.746144
31.369207,13.251905
350.177277,8.216937
349.9025,8.06336
29.831494,19.007685
29.806847,18.95465
324.894205,8.876874
9.622458,29.511162
335.651838,-4.120803
335.9957,-4.07336
336.64841,-3.69875
337.7921875,-2.4204972
337.06235,-2.88451
319.207936,-4.497031
321.1417208,-2.2957278
349.14215,20.82847
349.659785,25.232816
350.12482,25.07155
348.291075,24.244045
55.58895,7.88603
56.07606,8.11731
54.3447,6.48723
55.4619,8.15982
332.953745,2.438167
332.715661,2.105917
329.189686,2.58732
329.719148,3.761594
330.852087,2.594901
30.935905,14.709307
30.037402,12.656186
32.088078,10.994962
31.36901,13.25163
318.040993,-8.463107
319.963906,-8.783024
319.827905,-6.24475
319.27914,-6.72442
0.39427,0.27442
359.45242,0.79557
0.5044167,2.8906417
0.2304125,2.4941528
359.84241,1.87578
1.09099,1.08917
359.831077,4.760232
0.26986,4.5406
0.70654,4.40954
358.32822,3.71782
21.9007104,-4.3845801
21.179648,-3.7498036
20.4430795,-3.662447
22.0540255,-1.9155051
21.3871587,-3.476002
23.4142704,-2.2774951
23.001361,-3.5794781
22.0049338,-2.5963487
20.4992478,-1.0400991
358.97778,12.37529
0.89965,10.60379
0.98486,10.8764
1.0541,10.79056
0.43855,13.10058
0.57986,12.9717
0.97452,12.76682
358.20779,11.96116
358.46713,12.91543
359.34161,13.11978
358.99423,12.63522
358.97363,12.18984
0.51653,12.531
359.48996,12.14861
359.22589,11.39849
358.92148,11.47274
359.49954,11.28791
0.94415,10.27416
0.96499,12.98531
0.46824,13.24588
1.29651,12.62698
1.3958,12.50618
0.56778,12.91798
0.68326,12.82434
1.16137,13.0521
0.9554,12.79929
0.71762,12.75458
0.5515,12.76705
359.75229,14.00229
0.19954,14.27754
2.02713,13.75803
0.67029,13.95945
358.45361,13.24385
358.47659,12.91783
358.67587,12.82833
37.4146929,1.3030169
37.3825646,1.6522636
37.8282981,1.4623952
38.0243314,1.8658484
37.6601236,1.852347
38.27964,1.0839802
38.4633552,1.080895
38.5245564,1.1216359
36.8465391,1.5568202
37.4096336,1.9128184
36.2894215,2.1976533
36.629969,3.766707
37.3103749,3.9665716
37.1430802,3.2528886
37.8713947,3.7999025
37.6539335,3.7895117
38.2083049,3.6932915
38.3130558,3.0104733
38.1663746,2.9577536
37.5182517,3.0945242
37.800749,2.8740314
37.4790294,3.3222847
37.9914662,3.7833437
38.1326319,3.9336487
38.3878585,3.475321
37.2235908,2.8361281
37.9961918,2.4821306
38.1343365,2.5051607
36.8011617,2.6674161
36.9234907,2.7386784
38.8625228,1.6168291
38.9724387,1.8030248
39.6110353,1.979822
39.4299539,1.9703719
38.6640712,1.1190187
39.4137968,2.0120081
38.9007643,1.3608563
39.0961775,2.919756
39.0018451,3.2028283
38.3868112,2.6392327
38.6348653,3.1414066
38.6033972,4.1614287
38.6534611,4.8603303
38.339339,4.3812069
39.2829398,3.677558
38.374081,4.2413801
