col1,2MASS
2MASXJ21120986-0827471,1120986-0827471
2MASXJ02573365-0745313,02573365-0745313
2MASXJ12274170-0757354,12274170-0757354
2MASXJ08284712-0656246,08284712-0656246
2MASXJ11285122-0614294,11285122-0614294
2MASXJ12163507-0643099,12163507-0643099
2MASXJ09491270-0520175,09491270-0520175
2MASXJ09493926-0509599,09493926-0509599
2MASXJ09501768-0544468,09501768-0544468
2MASXJ11350145-0504324,11350145-0504324
2MASXJ11372010-0549170,11372010-0549170
2MASXJ01223502-0414063,01223502-0414063
2MASXJ01260966-0426394,01260966-0426394
2MASXJ01273441-0439075,01273441-0439075
2MASXJ01273615-0423045,01273615-0423045
2MASXJ03460115-0415583,03460115-0415583
2MASXJ03460309-0408173,03460309-0408173
2MASXJ03460717-0404093,03460717-0404093
2MASXJ04241672-0403145,04241672-0403145
2MASXJ09520444-0459481,09520444-0459481
2MASXJ11061516-0410481,11061516-0410481
2MASXJ11402626-0412540,11402626-0412540
2MASXJ11461072-0449433,11461072-0449433
2MASXJ13165414-0442037,13165414-0442037
2MASXJ13523962-0417067,13523962-0417067
2MASXJ16023375-0433123,16023375-0433123
2MASXJ16023474-0415143,16023474-0415143
2MASXJ16092752-0431526,16092752-0431526
2MASXJ21164987-0429493,1164987-0429493
2MASXJ21201566-0452356,1201566-0452356
2MASXJ22275458-0423312,75458-0423312
2MASXJ01214632-0339445,01214632-0339445
2MASXJ01264483-0330054,01264483-0330054
2MASXJ03083965-0319510,03083965-0319510
2MASXJ03462726-0358075,03462726-0358075
2MASXJ03573737-0334199,03573737-0334199
2MASXJ04220212-0340189,04220212-0340189
2MASXJ04260472-0332567,04260472-0332567
2MASXJ04285568-0350255,04285568-0350255
2MASXJ09372664-0353144,09372664-0353144
2MASXJ10193603-0344443,10193603-0344443
2MASXJ11065462-0353012,11065462-0353012
2MASXJ11105281-0308407,11105281-0308407
2MASXJ11462534-0335493,11462534-0335493
2MASXJ12313771-0359286,12313771-0359286
2MASXJ13291996-0341426,13291996-0341426
2MASXJ13390436-0317340,13390436-0317340
2MASXJ14145534-0327169,14145534-0327169
2MASXJ14355486-0316121,14355486-0316121
2MASXJ16045853-0346349,16045853-0346349
2MASXJ16253621-0310394,16253621-0310394
2MASXJ16271666-0322245,16271666-0322245
2MASXJ22263559-0341557,63559-0341557
2MASXJ01180819-0234036,01180819-0234036
2MASXJ01222731-0218148,01222731-0218148
2MASXJ01233323-0227210,01233323-0227210
2MASXJ01333940-0216389,01333940-0216389
2MASXJ02283731-0244416,02283731-0244416
2MASXJ03102473-0237362,03102473-0237362
2MASXJ03115152-0234416,03115152-0234416
2MASXJ03150705-0233588,03150705-0233588
2MASXJ03232158-0209514,03232158-0209514
2MASXJ03361171-0236266,03361171-0236266
2MASXJ03390903-0200411,03390903-0200411
2MASXJ03404421-0240171,03404421-0240171
2MASXJ03475255-0202553,03475255-0202553
2MASXJ04220589-0214359,04220589-0214359
2MASXJ09205954-0238312,09205954-0238312
2MASXJ09435619-0236321,09435619-0236321
2MASXJ10100855-0233529,10100855-0233529
2MASXJ10131806-0234309,10131806-0234309
2MASXJ10144330-0201295,10144330-0201295
2MASXJ10232155-0201131,10232155-0201131
2MASXJ10234399-0202268,10234399-0202268
2MASXJ10341097-0244235,10341097-0244235
2MASXJ10462929-0233206,10462929-0233206
2MASXJ11012364-0220419,11012364-0220419
2MASXJ11414605-0214008,11414605-0214008
2MASXJ12590005-0237429,12590005-0237429
2MASXJ13213050-0208434,13213050-0208434
2MASXJ14390888-0212515,14390888-0212515
2MASXJ14490519-0218316,14490519-0218316
2MASXJ15093859-0256372,15093859-0256372
2MASXJ16101134-0226472,16101134-0226472
2MASXJ16103600-0230263,16103600-0230263
2MASXJ16105389-0234243,16105389-0234243
2MASXJ16110076-0237052,16110076-0237052
2MASXJ16110129-0225462,16110129-0225462
2MASXJ16142883-0256071,16142883-0256071
2MASXJ16264224-0234506,16264224-0234506
2MASXJ21110760-0202197,1110760-0202197
2MASXJ21560591-0252306,1560591-0252306
2MASXJ22024374-0206069,024374-0206069
2MASXJ22102985-0226486,102985-0226486
2MASXJ01184049-0103544,01184049-0103544
2MASXJ01185363-0100074,01185363-0100074
2MASXJ01190316-0114014,01190316-0114014
2MASXJ01190694-0115530,01190694-0115530
2MASXJ01193235-0138260,01193235-0138260
2MASXJ01240753-0151366,01240753-0151366
2MASXJ01242589-0124214,01242589-0124214
2MASXJ01245375-0130027,01245375-0130027
2MASXJ01251789-0131027,01251789-0131027
2MASXJ01253203-0130091,01253203-0130091
2MASXJ01254423-0127241,01254423-0127241
2MASXJ01254770-0120401,01254770-0120401
2MASXJ01254810-0129321,01254810-0129321
2MASXJ01255143-0119051,01255143-0119051
2MASXJ01263502-0106465,01263502-0106465
2MASXJ01271617-0158150,01271617-0158150
2MASXJ01273589-0106185,01273589-0106185
2MASXJ01274302-0108225,01274302-0108225
2MASXJ01294395-0114295,01294395-0114295
2MASXJ03061184-0110598,03061184-0110598
2MASXJ03324457-0109123,03324457-0109123
2MASXJ03355023-0159032,03355023-0159032
2MASXJ03360430-0157242,03360430-0157242
2MASXJ03380869-0122362,03380869-0122362
2MASXJ03403697-0123381,03403697-0123381
2MASXJ03431396-0101071,03431396-0101071
2MASXJ03562078-0110527,03562078-0110527
2MASXJ04205127-0146119,04205127-0146119
2MASXJ09443329-0136130,09443329-0136130
2MASXJ09483533-0154050,09483533-0154050
2MASXJ10064970-0139021,10064970-0139021
2MASXJ10175508-0122534,10175508-0122534
2MASXJ10202562-0159423,10202562-0159423
2MASXJ11032284-0132012,11032284-0132012
2MASXJ11135300-0118211,11135300-0118211
2MASXJ11195624-0128483,11195624-0128483
2MASXJ11362932-0144075,11362932-0144075
2MASXJ11464434-0153413,11464434-0153413
2MASXJ12510847-0127002,12510847-0127002
2MASXJ15554276-0150161,15554276-0150161
2MASXJ16045562-0146079,16045562-0146079
2MASXJ17114259-0104523,17114259-0104523
2MASXJ17183769-0127467,17183769-0127467
2MASXJ17200026-0107245,17200026-0107245
2MASXJ17203482-0118523,17203482-0118523
2MASXJ17204075-0108573,17204075-0108573
2MASXJ17204648-0102353,17204648-0102353
2MASXJ17204935-0100543,17204935-0100543
2MASXJ17205608-0103093,17205608-0103093
2MASXJ21280764-0135412,1280764-0135412
2MASXJ21521256-0136031,1521256-0136031
2MASXJ01185449-0040594,01185449-0040594
2MASXJ01205644-0006199,01205644-0006199
2MASXJ01223539-0034123,01223539-0034123
2MASXJ01280211-0044175,01280211-0044175
2MASXJ01312182-0035432,01312182-0035432
2MASXJ01312288-0040272,01312288-0040272
2MASXJ01331492-0038129,01331492-0038129
2MASXJ03234412-0000491,03234412-0000491
2MASXJ03534132-0052430,03534132-0052430
2MASXJ04022336-0009569,04022336-0009569
2MASXJ04042320-0027534,04042320-0027534
2MASXJ04242535-0044465,04242535-0044465
2MASXJ04262586-0046058,04262586-0046058
2MASXJ08225022-0053523,08225022-0053523
2MASXJ09014955-0023529,09014955-0023529
