col1,2MASS
2MASXJ09484512-0635502,09484512-0635502
2MASXJ09515502-0649225,09515502-0649225
2MASXJ12202211-0651323,12202211-0651323
2MASXJ21170700-0643281,1170700-0643281
2MASXJ21191866-0614409,1191866-0614409
2MASXJ09433450-0500570,09433450-0500570
2MASXJ09492207-0511256,09492207-0511256
2MASXJ11332638-0558570,11332638-0558570
2MASXJ11361695-0545175,11361695-0545175
2MASXJ21200028-0507466,1200028-0507466
2MASXJ01211459-0410162,01211459-0410162
2MASXJ01250074-0438168,01250074-0438168
2MASXJ01260163-0417564,01260163-0417564
2MASXJ02581778-0449064,02581778-0449064
2MASXJ03353098-0418583,03353098-0418583
2MASXJ03394713-0440121,03394713-0440121
2MASXJ03415742-0442174,03415742-0442174
2MASXJ03454312-0405295,03454312-0405295
2MASXJ08491322-0425082,08491322-0425082
2MASXJ09385496-0451573,09385496-0451573
2MASXJ09505649-0459516,09505649-0459516
2MASXJ11092925-0443524,11092925-0443524
2MASXJ11485192-0441551,11485192-0441551
2MASXJ22024694-0424459,024694-0424459
2MASXJ22205826-0403315,05826-0403315
2MASXJ22223645-0407146,3645-0407146
2MASXJ22235895-0404243,35895-0404243
2MASXJ22481477-0436299,481477-0436299
2MASXJ01240432-0315356,01240432-0315356
2MASXJ01242002-0351026,01242002-0351026
2MASXJ01254648-0344021,01254648-0344021
2MASXJ01270837-0313110,01270837-0313110
2MASXJ03390273-0337371,03390273-0337371
2MASXJ04261882-0337158,04261882-0337158
2MASXJ04294645-0319293,04294645-0319293
2MASXJ10182595-0301230,10182595-0301230
2MASXJ10191524-0323503,10191524-0323503
2MASXJ10201830-0312513,10201830-0312513
2MASXJ10252649-0355446,10252649-0355446
2MASXJ11100411-0332312,11100411-0332312
2MASXJ11225205-0335580,11225205-0335580
2MASXJ11230477-0328407,11230477-0328407
2MASXJ11492608-0330432,11492608-0330432
2MASXJ11493229-0328342,11493229-0328342
2MASXJ12151798-0325460,12151798-0325460
2MASXJ12493646-0350401,12493646-0350401
2MASXJ12493907-0351231,12493907-0351231
2MASXJ12500000-0334325,12500000-0334325
2MASXJ14421446-0335139,14421446-0335139
2MASXJ14445033-0302178,14445033-0302178
2MASXJ15585795-0343136,15585795-0343136
2MASXJ16030430-0323066,16030430-0323066
2MASXJ01250896-0251497,01250896-0251497
2MASXJ01261138-0255414,01261138-0255414
2MASXJ01273538-0249475,01273538-0249475
2MASXJ01274727-0252085,01274727-0252085
2MASXJ01285275-0213310,01285275-0213310
2MASXJ03503566-0221058,03503566-0221058
2MASXJ04120195-0214330,04120195-0214330
